coordinates
212,"(32.7390768, -117.2347432)"
213,"(29.2670111, -97.76063769999999)"
214,"(32.8117984, -117.2008643)"
215,"(32.807566, -117.078448)"
216,"(47.60577130000001, -122.3302067)"
217,"(43.0722926, -89.42891139999999)"
218,"(33.0052287, -117.0921782)"
219,"(32.7981001, -117.2114506)"
220,"(32.7981001, -117.2114506)"
221,"(32.7981001, -117.2114506)"
222,"(38.521547, -106.965145)"
223,"(42.51565250000001, -71.0342126)"
224,"(32.7981001, -117.2114506)"
225,"(42.6385466, -76.496389)"
226,"(32.7540813, -117.1301791)"
227,"(33.8245806, -118.0121206)"
228,"(32.798897, -117.2307786)"
229,"(35.6484274, -88.7960305)"
230,"(32.7554086, -117.127708)"
231,"(32.7554086, -117.127708)"
232,"(32.8483092, -117.2038473)"
233,"(32.8146755, -117.1938072)"
234,"(32.7981001, -117.2114506)"
235,"(32.7981001, -117.2114506)"
236,"(42.3331379, -71.1196804)"
237,"(32.8118067, -117.2010551)"
238,"(38.5201239, -106.9669389)"
239,"(32.7358682, -117.2295009)"
240,"(40.2495857, -75.6495928)"
241,"(32.7687524, -117.0469933)"
242,"(32.7849176, -117.1291845)"
243,"(32.8028234, -117.1388644)"
244,"(29.4357865, -97.1785086)"
245,"(33.6851031, -101.3874876)"
246,"(29.4357865, -97.1785086)"
247,"(29.4357865, -97.1785086)"
248,"(28.2529547, -81.3036027)"
249,"(35.4747203, -120.6627341)"
250,"(32.7720921, -117.2511241)"
251,"(32.8232518, -117.1844916)"
252,"(42.5860821, -87.83996309999999)"
253,"(32.8345441, -117.1947399)"
254,"(32.8218036, -117.1586501)"
255,"(32.7419936, -117.2473336)"
256,"(32.7591633, -117.133903)"
257,"(32.8308776, -117.2806719)"
258,"(32.8158426, -117.1899315)"
259,"(32.8015534, -117.185059)"
260,"(32.7977202, -117.2516784)"
261,"(32.755391, -117.1258277)"
262,"(28.52496, -81.389622)"
263,"(32.9813602, -117.0751136)"
264,"(36.1659741, -115.1323322)"
265,"(32.9175467, -117.1226704)"
266,"(32.89237240000001, -117.206744)"
267,"(42.11943520000001, -71.2498306)"
268,"(32.7451905, -117.2525175)"
269,"(32.78895809999999, -117.1684925)"
270,"(32.9596306, -117.1654402)"
271,"(32.9620885, -117.0921036)"
272,"(38.2819054, -122.4594013)"
273,"(32.81261180000001, -117.0533264)"
274,"(32.733596, -117.1584346)"
275,"(32.71961690000001, -117.1217495)"
276,"(32.9243352, -117.1191234)"
277,"(32.7597966, -117.232876)"
278,"(32.799793, -117.240852)"
279,"(32.799793, -117.240852)"
280,"(32.799793, -117.240852)"
281,"(32.9721125, -117.0853583)"
282,"(32.7552306, -117.1050371)"
283,"(42.7378972, -76.555829)"
284,"(32.7503433, -117.1301643)"
285,"(43.0112648, -96.4879538)"
286,"(32.6871381, -114.6675292)"
287,"(32.8808306, -117.2182131)"
288,"(32.7981001, -117.2114506)"
289,"(40.426728, -78.42947)"
